ClassName,Statement,Day
"Reader's Workshop","I can select a common theme from 'Wonder' and 'The One and Only Ivan.'",19
"Reader's Workshop","I can gather strong textual evidence from both books... to support the chosen theme.",19
"Reader's Workshop","I can organize my evidence using a graphic organizer in preparation for a final project.",19
"Reader's Workshop","I can use my graphic organizer to plan a presentation or poster that compares how two authors develop a shared theme.",20
"Reader's Workshop","I can organize my ideas logically for a clear presentation.",20
"Reader's Workshop","I can create a poster or deliver a presentation that effectively compares how two authors develop a shared theme.",21
"Reader's Workshop","I can use textual evidence and explain author's craft to support my claims.",21
"Reader's Workshop","I can present my ideas clearly and confidently (for presentations).",21
"Reader's Workshop","I can create a poster or deliver a presentation that effectively compares how two authors develop a shared theme.",22
"Reader's Workshop","I can use textual evidence and explain author's craft to support my claims.",22
"Reader's Workshop","I can present my ideas clearly and confidently (for presentations).",22
"Writer's Workshop","I can brainstorm ideas for a narrative story from my own life.",1
"Writer's Workshop","I can choose a ""small moment"" to write about instead of a ""big event."",1
"Writer's Workshop","I can choose one small moment to begin drafting.",2
"Writer's Workshop","I can write a strong beginning that grabs the reader's attention.",2
"Writer's Workshop","I can stretch out the beginning of my story with details.",3
"Writer's Workshop","I can begin to write the middle of my story, focusing on the sequence of events.",3
"Writer's Workshop","I can plan the main events of my narrative, including a problem and a solution.",4
"Writer's Workshop","I can identify the beginning, middle, and end of my planned story.",4
"Writer's Workshop","I can draft the middle of my story, following my plot plan.",5
"Writer's Workshop","I can use words like ""then,"" ""next,"" and ""suddenly"" to show the order of events.",5
"Writer's Workshop","I can identify where I can add details to show my character's feelings.",6
"Writer's Workshop","I can revise a part of my draft to show a feeling through actions, thoughts, or dialogue.",6
"Writer's Workshop","I can identify where I can add descriptive details about the setting.",7
"Writer's Workshop","I can add sensory details (what I saw, heard, smelled, felt) to make my setting come alive.",7
"Writer's Workshop","I can introduce new characters in my story through their actions and what they say.",8
"Writer's Workshop","I can describe a character's traits (e.g., kind, shy) through their behavior.",8
"Writer's Workshop","I can clearly introduce the main problem or turning point in my narrative.",9
"Writer's Workshop","I can stretch out the events leading up to the problem to build suspense.",9
"Writer's Workshop","I can draft the most exciting or important part of my story (the climax).",10
"Writer's Workshop","I can stretch out this moment with specific actions and details.",10
"Writer's Workshop","I can draft the falling action, showing how the problem begins to resolve.",11
"Writer's Workshop","I can use clear transitions to guide the reader.",11
"Writer's Workshop","I can draft a satisfying resolution to my narrative.",12
"Writer's Workshop","I can show how the character has changed or learned something.",12
"Writer's Workshop","I can read through my entire draft to check if my story makes sense.",13
"Writer's Workshop","I can use transition words to improve the flow and connections between events.",13
"Writer's Workshop","I can identify where I can deepen the reader's understanding of character emotions.",14
"Writer's Workshop","I can revise to add more ""show, don't tell"" details.",14
"Writer's Workshop","I can identify opportunities to add similes and metaphors to my narrative.",15
"Writer's Workshop","I can add a simile or metaphor to my story to create more vivid descriptions.",15
"Writer's Workshop","I can identify where I can add more sensory details to engage my reader's senses.",16
"Writer's Workshop","I can revise my draft to include details about sounds, smells, and textures.",16
"Writer's Workshop","I can identify where to change the pacing in my story.",17
"Writer's Workshop","I can slow down an important moment to build suspense or emotion.",17
"Writer's Workshop","I can speed up a less important moment to move the story forward.",17
"Writer's Workshop","I can identify where I can add or improve dialogue in my story.",18
"Writer's Workshop","I can use dialogue to show a character's personality or emotions.",18
"Writer's Workshop","I can identify the most important scene in my story.",19
"Writer's Workshop","I can elaborate on that scene by adding more descriptive details, thoughts, and actions.",19
"Writer's Workshop","I can use everything I've learned about ""show, don't tell"" to make that scene powerful.",19
"Writer's Workshop","I can identify and correct errors in capitalization.",20
"Writer's Workshop","I can identify and correct errors in end punctuation.",20
"Writer's Workshop","I can identify and correct common spelling errors in my writing.",21
"Writer's Workshop","I can check for correct grammar, especially subject-verb agreement.",21
"Writer's Workshop","I can create a final, clean copy of my narrative story.",22
"Writer's Workshop","I can share my published story with an audience.",22
"Writer's Workshop","I can reflect on my growth as a writer this unit.",22
"Informational Writing","I can choose a focused subject and organize my writing into sections using subheadings or clear transitions.",1
"Informational Writing","I can hook my reader with a strong quote or an important fact.",1
"Informational Writing","I can write an introduction that tells my reader what subtopics I will write about and in what order.",1
"Informational Writing","I can write a well-structured informational text that teaches my reader.",2
"Informational Writing","I can purposefully decide on the best order for my sections.",2
"Informational Writing","I can use organizational structures like 'compare and contrast' or 'claim and support' to organize my information.",2
"Informational Writing","I can include different types of writing, like mini-stories, explanations, or how-to sections, to make my writing clear.",2
"Informational Writing","I can include different kinds of information, like facts, quotations, examples, and definitions.",3
"Informational Writing","I can make my information understandable and interesting for my reader.",3
"Informational Writing","I can use trusted sources and information from experts, and I can give them credit.",3
"Informational Writing","I can choose my words carefully to explain information and affect my reader.",4
"Informational Writing","I can use concrete details, comparisons, or images to keep my reader engaged.",4
"Informational Writing","I can use expert vocabulary (domain-specific) for my topic and explain it using context clues, text boxes, or other supports.",4
"Informational Writing","I can write with a formal, teaching tone.",4
"Informational Writing","I can use transitions to show how my ideas, information, and examples fit together.",5
"Informational Writing","I can use transition words (like *for instance*, *similarly*, *therefore*, or *in contrast to*) to show if an idea adds on, compares, or is a result of another idea.",5
"Informational Writing","I can write a conclusion that restates my most important points.",5
"Informational Writing","I can end my writing by giving the reader a final insight or thought to consider.",5
"Informational Writing","I can use resources to make sure all my words are spelled correctly, especially technical vocabulary.",6
"Informational Writing","I can use punctuation like dashes, parentheses, colons, or semicolons to add extra information to my sentences.",6
"Informational Writing","I can accurately cite my sources using the correct punctuation.",6
